"('date',_'')","('close',_'005930.ks')","('high',_'005930.ks')","('low',_'005930.ks')","('open',_'005930.ks')","('volume',_'005930.ks')"
2000-11-08,2427.494873046875,2463.088639513838,2334.9510802327713,2420.3761197534827,58215000
2000-11-09,2420.376220703125,2441.7324814740346,2320.7136704388786,2349.188684800092,52305000
2000-11-10,2406.138916015625,2448.851441151997,2363.4263908792527,2391.9014076368344,35140000
2000-11-13,2242.407958984375,2320.714268663194,2206.8141818576387,2292.2392469618053,51070000
2000-11-14,2342.07080078125,2363.427069481383,2285.1207509142287,2285.1207509142287,31755000
2000-11-15,2413.25732421875,2463.088596400258,2363.426052037242,2455.9698432314713,55720000
2000-11-16,2334.951171875,2434.613721894055,2313.594911156631,2420.376214748476,37420000
2000-11-17,2292.2392578125,2299.358013271545,2242.4079695991845,2263.76423597632,36225000
2000-11-20,2206.8134765625,2285.119761214718,2206.8134765625,2249.52599546371,26795000
2000-11-21,2249.526611328125,2256.645366427265,2114.270264444472,2192.576570535008,51620000
2000-11-22,2235.288818359375,2292.238851948149,2192.5762931677946,2206.8138015649884,37710000
2000-11-23,2285.119873046875,2320.713640539817,2235.2885985567564,2235.2885985567564,44645000
2000-11-24,2420.376220703125,2420.376220703125,2327.8324240291818,2356.307438390395,45530000
2000-11-27,2690.88916015625,2705.1266689401455,2541.395317925347,2562.7515811011904,100220000
2000-11-28,2505.802001953125,2598.3458258888936,2491.564490578391,2598.3458258888936,59770000
2000-11-29,2292.2392578125,2384.7830787800854,2278.0017468944097,2349.18930148486,54300000
2000-11-30,2306.4765625,2342.070336612654,2242.407769097222,2292.239052854938,63315000
2000-12-01,2263.763916015625,2292.2389338271423,2164.1013536753144,2192.5763714868317,96425000
2000-12-04,2206.8134765625,2313.594773815524,2192.5759702620967,2292.2385143649194,51875000
2000-12-05,2306.4765625,2313.5953173225307,2221.0515046296296,2249.526523919753,58400000
2000-12-06,2285.119873046875,2441.7324500158197,2285.119873046875,2427.494943018643,95890000
2000-12-07,2320.713623046875,2320.713623046875,2249.5260885975845,2285.1198558222295,43020000
2000-12-08,2399.0205078125,2413.258018244622,2320.714200435831,2320.714200435831,47575000
2000-12-11,2548.513916015625,2584.10768579238,2477.326376462116,2477.326376462116,70575000
2000-12-12,2491.563720703125,2598.3450230189733,2491.563720703125,2548.5137486049107,73745000
2000-12-13,2690.88916015625,2690.88916015625,2491.564037181713,2491.564037181713,84140000
2000-12-14,2576.9892578125,2619.7017869475135,2534.276728677486,2576.9892578125,66965000
2000-12-15,2484.445556640625,2591.2268842899357,2477.3268014640043,2576.9893739366944,52960000
2000-12-18,2534.2763671875,2555.632628708743,2484.4450903045995,2491.563844145014,34350000
2000-12-19,2512.92041015625,2541.3954289682188,2498.6829007502656,2534.2766742652266,25445000
2000-12-20,2377.66455078125,2455.9708683219496,2363.4270385011228,2434.614599901759,53675000
